Cocunut,Mortgage_YN,AGE_AT_ORIGINATION,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
7340,N,,55,11,M,HGH,STE,F,"204,422",24/12/1964,01/03/1998,14/10/2005,"75,26615385"
7342,N,,53,13,M,HGH,PVE,M,"193,2384615",06/04/2009,27/06/2007,28/07/2003,0
7343,N,,49,11,M,BCR,STE,M,"886,3461538",01/07/2006,01/12/1999,14/10/2005,"2,123230769"
7347,N,,67,13,M,BCR,RET,M,"260,4473077",01/11/1950,01/10/9999,13/05/2004,0
7354,N,,47,11,M,HGH,PVE,F,"406,1719231",01/06/1979,03/10/2005,15/10/2005,"241,622"
7355,N,,39,11,S,BCR,PVE,F,"486,1591538",10/09/1978,03/10/2005,15/10/2005,0
7356,N,,39,15,M,BCR,STE,M,"366,6328462",01/01/1999,06/10/2005,01/02/2002,0
7361,N,,66,11,M,BCR,RET,M,"182,4760769",08/03/1951,01/10/9999,17/10/2005,"76,92307692"
7362,N,,52,11,S,BCR,PVE,F,"231,9307692",01/03/1981,15/06/1991,17/10/2005,"75,09515385"
7367,N,,45,11,M,HGH,STE,M,"245,6153846",10/03/1980,03/10/1996,15/10/2005,"209,1778462"
7370,N,,63,11,M,BCR,STE,M,"592,1951538",20/05/1997,01/11/1996,13/10/2005,0
7371,N,,58,11,M,BCR,STE,F,"413,6615385",19/05/1983,01/04/1986,15/10/2005,"12,874"
7373,N,,71,11,W,BCR,RET,F,"367,215",01/01/1984,01/10/9999,18/10/2005,0
7378,N,,39,11,M,MAS,PVE,F,"1704,886385",01/01/1998,10/10/2005,18/10/2005,0
7379,N,,68,12,D,HGH,RET,M,"209,6",08/11/2000,01/10/9999,07/04/2005,0
7385,N,,61,11,M,HGH,PVE,M,"326,8769231",08/10/1956,01/01/1987,19/10/2005,"225,9404615"
7389,N,,43,11,S,HGH,STE,M,"436,1246154",01/05/1978,15/03/2005,19/10/2005,"320,3846154"
7393,N,,50,11,M,HGH,PVE,F,"422,1725385",30/06/2007,04/05/1988,19/10/2005,"384,9555385"
7394,N,,44,11,M,HGH,PVE,M,"261,2149231",15/07/2000,01/01/2010,19/10/2005,0
7400,N,,55,11,M,BCR,STE,F,"382,5307692",14/03/1987,01/09/1994,20/10/2005,"260,7301538"
7402,N,,41,11,M,BCR,STE,M,"345,9223846",01/01/1984,31/01/2008,20/10/2005,0
7407,N,,45,11,M,BCR,STE,F,"351,7862308",01/02/1983,01/11/2005,20/10/2005,"287,9576923"
