Cocunut,Mortgage_YN,AGE_AT_ORIGINATION,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
1,Y,50.0,52,13,M,HGH,PVE,M,"909,5013077",18/04/1979,01/01/2010,16/03/2004,"7648,350692"
9,Y,48.0,49,11,M,HGH,SFE,M,"288,4615385",16/12/1999,20/01/2004,07/11/2005,"30189,90492"
11,Y,53.0,55,14,M,BCR,STE,M,"1280,528692",28/06/2005,01/09/1990,25/06/2003,"50553,17454"
12,Y,64.0,66,10,M,BCR,OTH,F,"620,9597692",22/12/2000,01/10/9999,21/12/2006,"15907,28338"
18,Y,46.0,47,9,S,MAS,PVE,F,"2239,853846",01/08/2009,24/12/2013,07/08/2007,"27916,19262"
19,Y,34.0,35,10,*noval*,BCR,STE,F,"1016,004308",01/10/9999,01/08/2006,02/08/2006,"26571,472"
21,Y,51.0,53,10,M,HGH,STE,F,"458,6092308",31/12/1992,13/12/1984,27/10/2006,"21949,504"
24,Y,56.0,58,10,M,HGH,PVE,F,"615,3846154",31/03/1998,20/09/2005,27/06/2007,"50387,55885"
29,Y,46.0,47,14,M,BCR,PVE,M,"744,0076154",01/09/2007,08/04/2010,16/11/2002,"8731,948923"
33,Y,45.0,46,12,M,HGH,PVE,M,"473,818",27/11/2007,01/10/1991,24/11/2004,"16084,14246"
34,Y,38.0,40,9,S,HGH,PVE,F,"538,6294615",17/10/2007,12/06/2006,29/01/2008,"13118,73962"
35,Y,48.0,50,11,M,HGH,STE,M,"402,4476923",01/09/1997,01/07/1992,28/04/2006,"28063,85915"
37,Y,56.0,57,14,D,HGH,PVE,F,"626,3546923",30/05/2005,18/11/2002,27/11/2002,"6084,600692"
43,Y,36.0,39,12,M,BCR,PVE,M,"932,7886923",01/09/2009,01/08/2004,19/08/2004,"55190,07408"
45,Y,39.0,41,11,M,BCR,PVE,F,"872,7253846",20/06/2009,01/08/2005,01/08/2005,"29008,47846"
47,Y,42.0,43,12,M,BCR,PVE,M,"7504,292308",01/02/1999,27/06/2008,25/02/2005,"35649,95146"
52,Y,50.0,51,13,*noval*,BCR,PVE,M,"808,4407692",01/10/9999,01/09/2009,21/04/2004,"133846,7488"
55,Y,42.0,43,11,S,BCR,STE,F,"630,0923077",01/12/2011,01/07/2005,29/03/2006,"29114,93785"
61,Y,50.0,52,13,M,HGH,PVE,M,"1613,830769",14/09/2013,27/10/2003,13/01/2004,"70111,68331"
63,Y,36.0,37,12,D,BCR,PVE,M,"1269,230769",01/01/1985,25/11/2013,02/11/2004,"74363,16923"
65,Y,33.0,34,9,M,BCR,PVE,F,"614,856",01/10/2012,01/01/2011,10/09/2007,"34679,577"
70,Y,36.0,37,12,M,BCR,PVE,F,"789,7998462",01/06/2004,01/11/2004,18/11/2004,"12917,19269"
78,Y,36.0,36,15,M,BCR,PVE,M,"753,1601538",01/08/2013,01/11/2005,11/01/2002,"30996,63531"
81,Y,39.0,40,12,S,BCR,PVE,M,"1953,8",01/10/1982,15/08/2008,23/02/2005,"44597,80338"
86,Y,45.0,47,12,M,HGH,PVE,M,"300,4061538",17/11/1970,20/01/2012,27/08/2004,"12803,372"
89,Y,41.0,42,3,M,HGH,PVE,M,"253,8461538",01/05/2007,01/06/2006,21/05/2014,"73125,13531"
91,Y,31.0,33,10,S,BCR,PVE,F,"825,5689231",22/09/2014,11/06/2007,12/06/2007,"18229,49185"
95,Y,46.0,47,12,M,BCR,STE,F,"1337,515385",29/09/2014,01/01/2010,07/02/2005,"52200,47992"
100,Y,36.0,39,13,S,HGH,SFE,M,"461,5384615",01/10/2001,04/07/2004,11/11/2003,"34586,96862"
101,Y,33.0,35,4,M,BCR,STE,M,"557,4923077",01/01/2014,01/01/2015,26/06/2013,"30273,03015"
107,Y,35.0,37,14,M,HGH,SFE,M,"917,9615385",25/07/2009,01/08/2012,25/03/2003,"16625,39208"
112,Y,53.0,55,3,W,BCR,PVE,F,"1206,007692",10/02/1992,02/11/2009,26/11/2013,"54246,125"
113,Y,29.0,31,9,M,HGH,PVE,M,"332,1391538",02/08/2014,18/04/2012,22/04/2008,"20775,743"
114,Y,59.0,61,15,M,BCR,PVE,M,"1116,528154",15/09/2012,01/07/2012,04/02/2002,"19312,91954"
117,Y,46.0,48,6,D,BCR,STE,M,"660,8538462",30/03/1969,01/01/1991,21/01/2011,"9480,442308"
118,Y,58.0,61,12,M,HGH,STE,F,"309,8846154",01/05/1992,07/08/1978,29/10/2004,"10386,03354"
125,Y,56.0,58,15,M,HGH,PVE,M,"7180,962385",01/11/2012,01/11/2011,02/04/2002,"20530,18638"
128,Y,36.0,38,4,S,BCR,STE,F,"314,9866923",11/11/2014,30/03/2013,16/08/2012,"25833,65585"
131,Y,28.0,30,3,S,MAS,PVE,M,"366,5384615",01/09/2009,28/09/2013,23/10/2013,"19714,48446"
132,Y,28.0,31,11,M,HGH,PVE,M,"596,9846154",13/11/1986,22/01/2007,07/02/2006,"37383,845"
133,Y,39.0,42,9,M,BCR,PVE,M,"1872,1",01/11/2008,01/11/2012,07/11/2007,"73893,34408"
137,Y,39.0,42,12,M,HGH,PVE,F,"546,9762308",25/04/1998,14/07/2007,24/06/2005,"22658,96577"
140,Y,35.0,37,12,D,BCR,PVE,M,"1388,492308",01/02/2012,01/07/2011,29/03/2005,"29896,83654"
141,Y,36.0,38,2,M,HGH,PVE,M,"207,6923077",10/09/2005,01/03/2007,08/09/2014,"10171,71269"
146,Y,30.0,32,3,M,HGH,STE,F,"241,0461538",01/01/2011,02/09/2013,11/11/2013,"14170,29023"
157,Y,58.0,60,13,M,BCR,STE,M,"625,4153846",05/03/1957,05/06/1980,18/03/2004,"11342,84123"
158,Y,29.0,31,2,S,MAS,PVE,F,"357,4139231",20/11/2010,01/12/2010,22/01/2015,"22037,05454"
160,Y,45.0,47,11,M,SEC,PVE,M,"683,5412308",01/05/2010,18/04/2006,23/05/2006,"21211,79338"
163,Y,37.0,38,11,M,HGH,PVE,M,"425,1281538",01/10/2010,01/05/2011,25/05/2006,"22909,96992"
165,Y,52.0,55,8,M,PHD,STE,M,"833,8076923",01/04/1994,25/02/2013,08/06/2009,"32809,39992"
166,Y,43.0,45,15,M,PHD,STE,M,"999,0010769",01/06/2000,02/06/2014,08/01/2002,"24141,49523"
175,Y,28.0,30,2,S,HGH,PVE,M,"401,3",01/01/2005,12/05/2008,13/02/2015,"30546,98031"
176,Y,39.0,41,8,M,BCR,PVE,M,"287,7407692",01/11/2013,01/07/2004,16/07/2008,"22007,08831"
180,Y,51.0,53,4,W,BCR,STE,F,"324,808",21/12/2013,01/08/1993,15/06/2013,"26043,77969"
182,Y,40.0,42,13,M,MAS,PVE,M,"2033,923077",01/05/2007,01/12/2012,26/05/2004,"135693,1177"
183,Y,45.0,48,13,S,BCR,STE,F,"347,1484615",01/01/2014,01/09/2006,18/11/2003,"14327,86177"
184,Y,43.0,45,13,W,BCR,STE,F,"320,6411538",15/02/2015,02/11/2004,22/06/2004,"11650,35777"
188,Y,56.0,58,2,M,HGH,RET,F,"268,8047692",01/01/1980,01/10/9999,10/02/2015,"10136,87685"
189,Y,49.0,51,15,S,BCR,PVE,F,"1469,823077",01/01/2013,19/06/2006,13/03/2002,"23756,73715"
192,Y,32.0,34,2,M,PHD,PVE,M,"692,4692308",08/07/2014,12/02/2007,09/03/2015,"19366,92131"
208,Y,22.0,24,2,S,SEC,PVE,M,"381,0196154",01/10/2014,28/06/2014,10/03/2015,"21745,85223"
210,Y,34.0,36,11,S,HGH,PVE,F,"276,4923077",09/03/1981,01/10/2006,24/02/2006,"22617,88654"
211,Y,29.0,31,2,M,BCR,PVE,F,"441,0923077",01/01/2001,01/04/2012,20/11/2014,"36518,253"
216,Y,37.0,39,9,S,BCR,PVE,M,"699,4615385",10/09/1986,14/11/2011,19/05/2008,"21501,54615"
219,Y,35.0,37,2,M,BCR,STE,M,"336,8111538",02/07/2011,01/08/2013,11/03/2015,"31122,11838"
220,Y,46.0,47,11,M,BCR,PVE,M,"1179,479692",01/06/2015,01/01/2010,13/07/2005,"36277,13023"
225,Y,39.0,41,15,M,BCR,PVE,F,"1174,461615",01/01/2007,18/03/2002,22/03/2002,"84832,15715"
228,Y,33.0,35,2,M,HGH,PVE,F,"363,8417692",01/06/2014,01/05/2011,16/03/2015,"24108,04254"
231,Y,35.0,37,12,M,BCR,STE,F,"946,8230769",01/01/2009,01/06/2005,07/06/2005,"24186,30723"
233,Y,33.0,35,8,M,HGH,PVE,F,"463,1692308",01/10/2006,01/01/2011,01/09/2008,"20793,11831"
246,Y,31.0,33,9,S,BCR,PVE,F,"6293,229385",01/09/1992,01/08/2010,15/08/2007,"88270,537"
249,Y,46.0,48,15,M,BCR,STE,M,"1437,553846",11/09/2004,10/11/2004,26/12/2001,"69276,38915"
250,Y,39.0,41,9,M,BCR,PVE,M,"916,2923077",28/06/2016,01/02/2013,30/07/2007,"22648,00438"
251,Y,46.0,48,11,M,BCR,PVE,F,"651,4864615",14/09/1996,20/03/2006,22/03/2006,"36292,95185"
257,Y,57.0,59,11,M,HGH,PVE,M,"346,1538462",22/04/1988,11/08/1989,06/07/2005,"2454,940769"
261,Y,56.0,58,11,M,HGH,PVE,F,"323,7163846",12/01/2005,01/11/2001,24/05/2006,"1857,557692"
269,Y,40.0,43,12,S,MAS,OTH,M,"709,4384615",01/10/9999,01/10/9999,04/02/2005,"11586,56938"
273,Y,35.0,37,5,S,BCR,PVE,F,"1199,507692",01/01/2011,22/04/2013,21/03/2012,"31443,91231"
280,Y,56.0,59,13,M,BCR,STE,M,"784,8176923",01/06/1991,12/12/2005,21/07/2003,"6844,349154"
282,Y,42.0,44,12,M,BCR,PVE,M,"1531,315923",01/01/2008,23/08/2004,21/10/2004,0
291,Y,59.0,61,10,S,HGH,SFE,M,"256,4102308",03/08/1998,03/04/2000,15/11/2006,"13720,08577"
299,Y,45.0,47,13,S,BCR,PVE,M,"1869,337",01/09/2000,01/10/2003,03/10/2003,"26562,85069"
302,Y,36.0,38,12,M,BCR,STE,M,"313,0769231",21/07/2000,01/01/1999,07/03/2005,"2459,241923"
303,Y,36.0,38,11,S,BCR,PVE,M,"1816,169231",01/03/2015,15/05/2007,28/01/2006,"7212,148846"
307,Y,37.0,39,13,S,HGH,PVE,M,"333,21",01/09/2006,01/06/2001,11/12/2003,"3494,001692"
308,Y,40.0,42,14,M,MAS,PVE,M,"5561,223077",01/06/2010,01/12/2014,08/02/2003,"24945,43046"
309,Y,60.0,62,15,S,MAS,STE,F,"430,6282308",14/06/1999,02/12/1986,17/12/2001,"21350,94746"
314,Y,41.0,43,2,M,HGH,STE,F,"277,1538462",01/01/2016,14/02/2011,13/11/2014,"19313,63954"
316,Y,45.0,47,12,M,HGH,STE,M,"556,7",01/05/2012,01/06/1989,20/08/2004,"21176,47431"
324,Y,40.0,42,4,S,BCR,STE,M,"787,3307692",01/11/1994,15/04/2013,28/05/2013,"27681,929"
325,Y,39.0,41,10,M,BCR,STE,F,"291,4384615",15/12/2003,01/09/1998,31/08/2006,"7354,893615"
326,Y,50.0,52,13,M,BCR,STE,F,"281,0238462",26/08/1985,02/10/2001,16/01/2004,"8076,471308"
327,Y,34.0,36,13,S,HGH,PVE,M,"563,1686923",05/12/1981,01/05/2007,01/06/2004,"64683,09077"
330,Y,45.0,47,10,M,BCR,STE,F,"392,8846154",08/12/2006,27/01/2001,10/07/2006,0
331,Y,27.0,29,2,S,HGH,STE,M,"675,5384615",01/10/1998,25/10/2010,25/05/2015,"9199,850846"
332,Y,57.0,59,12,M,BCR,RET,F,"636,6776154",18/10/2003,01/10/9999,27/12/2004,"15152,57346"
340,Y,46.0,48,12,M,HGH,PVE,M,"973,8516154",29/11/1981,01/01/2005,24/01/2005,"61233,71162"
342,Y,42.0,44,2,S,BCR,STE,F,"353,5076923",01/10/2014,01/09/2010,10/06/2015,"16354,25562"
344,Y,39.0,41,12,M,BCR,PVE,M,"1429,307692",01/08/2011,01/10/9999,10/03/2005,"23233,15654"
346,Y,42.0,44,12,S,MAS,STE,F,"396,4455385",01/06/2015,15/01/2002,29/10/2004,"28728,48392"
350,Y,41.0,43,11,M,HGH,PVE,M,"615,3846154",26/10/1974,01/02/2004,07/02/2006,"35309,62638"
359,Y,44.0,46,5,M,HGH,PVE,M,"313,8076923",09/08/1971,10/11/2001,02/09/2011,"24287,12008"
363,Y,33.0,34,11,M,HGH,PVE,M,"384,6153846",01/05/2010,20/12/2014,23/06/2006,"35982,09092"
367,Y,34.0,36,11,S,BCR,PVE,F,"1179,061538",01/12/2008,12/09/2005,21/09/2005,"40861,80731"
371,Y,41.0,43,12,M,BCR,PVE,F,"1734,161538",01/01/2005,01/06/2009,16/06/2005,"36409,47254"
372,Y,44.0,46,9,M,BCR,STE,M,"428,4170769",08/08/2011,20/07/2001,21/04/2008,"18171,312"
373,Y,36.0,38,7,M,HGH,PVE,M,"265,6",02/12/1979,01/10/2009,30/12/2009,"15123,39354"
374,Y,49.0,51,15,D,HGH,PVE,F,"1671,969231",24/07/2015,20/03/2006,17/11/2001,"35805,68508"
376,Y,32.0,34,9,M,PRS,SFE,F,"307,8384615",07/11/1983,27/01/2006,13/07/2007,"37160,00285"
387,Y,36.0,38,11,S,BCR,PVE,M,"738,4615385",24/03/2005,01/10/2002,04/02/2006,"92153,92008"
388,Y,48.0,50,11,M,MAS,STE,M,"362,7740769",21/09/1967,21/02/2005,13/06/2006,"10783,13631"
389,Y,61.0,63,15,M,BCR,RET,F,"693,6522308",14/09/2007,01/10/9999,25/01/2002,"5848,991769"
400,Y,27.0,29,1,M,MAS,PVE,M,"976,9307692",16/08/2015,01/01/2014,14/07/2015,"53775,54192"
407,Y,45.0,47,11,W,HGH,PVE,F,"182,7193846",25/07/2008,01/04/2007,13/07/2005,"9930,533077"
408,Y,57.0,59,10,S,HGH,OTH,F,"304,9334615",27/01/1998,01/10/9999,20/04/2007,"9534,794692"
414,Y,44.0,46,1,M,MAS,PVE,M,"953,8538462",01/03/2015,01/01/2010,29/07/2015,"67881,78792"
422,Y,51.0,53,14,M,BCR,STE,M,"791,5307692",05/05/1992,03/08/1992,17/05/2003,"22609,46415"
424,Y,59.0,61,12,M,BCR,STE,F,"405,7512308",01/10/2008,12/12/2006,24/08/2004,"5489,273462"
425,Y,40.0,42,12,M,HGH,STE,F,"310,0076923",01/01/2002,01/10/9999,27/12/2004,"6892,041308"
437,Y,36.0,38,13,M,HGH,SFE,M,"865,6153846",19/04/2014,19/10/2006,20/11/2003,"9128,994846"
438,Y,31.0,33,7,M,HGH,PVE,F,"256,4102308",01/09/2009,01/10/2013,16/11/2009,"24038,43708"
439,Y,35.0,36,10,M,MAS,PVE,M,"2478,689077",01/07/2006,14/03/2011,10/04/2007,"37145,46023"
444,Y,45.0,47,15,M,BCR,SFE,M,"1680,076923",20/04/2009,27/06/2014,18/02/2002,"15074,24246"
445,Y,41.0,43,10,M,BCR,SFE,M,"982,3384615",09/01/2004,07/03/2014,04/07/2007,"20869,52615"
450,Y,29.0,31,1,M,HGH,STE,M,"519,7692308",05/05/2012,17/08/2011,27/07/2015,"17960,67654"
451,Y,40.0,41,9,M,BCR,PVE,M,"283,5211538",20/08/2004,01/02/2002,09/07/2007,"1715,893"
452,Y,40.0,42,10,M,HGH,PVE,M,"683,2923077",01/12/1996,01/09/2009,20/01/2007,"13994,48123"
455,Y,35.0,36,1,M,BCR,PVE,M,"961,5692308",01/01/1982,15/04/2008,28/07/2015,"45116,89331"
456,Y,41.0,43,11,M,HGH,PVE,F,"216,0823077",25/04/2002,22/06/2016,27/10/2005,"20882,46762"
457,Y,59.0,61,12,D,HGH,PVE,F,"604,7500769",01/09/1976,06/09/2004,11/09/2004,"11134,71638"
462,Y,58.0,60,9,M,BCR,STE,F,"793,5976923",05/10/2004,12/05/2004,02/11/2007,"30987,03808"
466,Y,42.0,44,12,M,HGH,PVE,M,"278,258",01/01/2000,01/02/1998,19/04/2005,"5850,716077"
470,Y,43.0,44,12,M,BCR,STE,M,"916,8358462",23/12/2003,01/06/2006,02/08/2004,"21503,21362"
477,Y,54.0,55,9,M,HGH,RET,M,"326,9923077",17/04/2007,01/10/9999,01/10/2007,"19194,55138"
481,Y,45.0,46,11,M,HGH,STE,F,"227,0244615",12/04/1996,01/01/1998,09/11/2005,"18509,36331"
482,Y,47.0,49,12,M,BCR,STE,F,"569,0889231",26/03/2002,01/06/2000,02/12/2004,"43295,84846"
483,Y,46.0,48,13,M,BCR,STE,M,"452,1337692",02/07/1978,07/06/1993,22/04/2004,"23639,65746"
491,Y,40.0,41,11,S,PRS,PVE,F,"721,8036923",21/04/2008,01/01/2010,29/03/2006,"13299,87592"
492,Y,55.0,57,10,M,BCR,STE,F,"816,3286923",07/09/2005,15/05/1990,04/09/2006,"20353,43946"
494,Y,30.0,32,7,S,HGH,PVE,M,"438,7538462",11/04/1985,07/11/2014,09/10/2009,"32557,581"
495,Y,41.0,43,9,M,SEC,PVE,M,"120,125",06/02/2007,01/03/1996,07/03/2008,"14964,04085"
496,Y,35.0,37,12,S,BCR,SFE,M,"1001,269231",12/05/2005,01/08/2011,30/06/2005,"93940,94392"
502,Y,37.0,39,14,M,BCR,PVE,F,"630,7692308",01/01/2008,09/01/2008,08/01/2003,"63274,61015"
507,Y,52.0,54,14,M,HGH,PVE,F,"775,1041538",09/08/1963,16/06/2003,16/06/2003,"32391,36915"
513,Y,46.0,48,12,M,BCR,PVE,M,"2769,230769",26/04/2002,01/09/2010,17/09/2004,"57596,74715"
514,Y,29.0,31,11,S,BCR,PVE,M,"740,3452308",12/12/1997,22/01/2015,02/08/2005,"37539,88185"
517,Y,42.0,44,9,M,HGH,PVE,M,"223,6280769",23/01/2008,20/06/2011,12/09/2007,"28679,39908"
519,Y,40.0,42,10,M,BCR,PVE,F,"1634,044385",01/01/2001,08/01/2007,09/01/2007,"45755,03354"
523,Y,47.0,49,9,M,BCR,PVE,M,"807,7153846",04/04/1968,03/11/2007,22/04/2008,"16365,28338"
525,Y,31.0,33,9,M,BCR,STE,F,"284,6153846",11/09/2007,15/11/2004,26/02/2008,"15063,02523"
529,Y,51.0,52,14,M,BCR,PVE,M,"1230,769231",01/01/1966,01/09/2005,27/09/2002,"52385,03346"
533,Y,35.0,37,4,M,PRS,SFE,M,"276,9230769",01/03/2015,04/12/2012,24/12/2012,"18447,896"
536,Y,56.0,58,13,W,BCR,PVE,M,"1165,407692",15/09/2005,10/03/2002,14/07/2003,"48134,15392"
542,Y,59.0,61,9,W,HGH,OTH,F,"202,3513846",03/08/2006,01/10/9999,23/07/2007,"5551,887154"
549,Y,62.0,64,13,M,HGH,RET,M,"264,9677692",27/09/2004,01/01/2005,01/06/2004,"5684,797923"
555,Y,57.0,59,11,M,BCR,STE,F,"639,9062308",20/10/2005,02/11/1998,23/11/2005,"18310,82615"
556,Y,43.0,45,12,S,BCR,PVE,M,"1389,592308",30/08/1980,01/02/2007,29/06/2005,"27013,97415"
574,Y,37.0,39,12,D,BCR,PVE,F,"338,7923077",20/08/2010,01/02/2009,25/06/2005,"29821,54662"
579,Y,41.0,42,9,M,BCR,PVE,M,"1413,222538",01/06/1993,01/03/2013,25/03/2008,"27002,70008"
585,Y,35.0,37,7,M,BCR,PVE,F,"946,1538462",28/12/1980,01/01/2015,08/06/2010,"30269,69531"
586,Y,53.0,55,1,W,BCR,STE,F,"374,4461538",01/09/2005,23/01/2006,05/10/2015,"26705,94592"
588,Y,27.0,29,1,S,BCR,PVE,M,"493,7538462",15/11/1988,23/12/2014,01/10/2015,"18182,65238"
592,Y,33.0,34,11,M,BCR,OTH,M,"1097,679231",01/09/2010,01/10/9999,17/08/2005,"38266,13023"
595,Y,36.0,37,1,D,BCR,PVE,M,"25741,92",04/10/2014,06/12/2012,21/09/2015,"78483,38338"
600,Y,39.0,40,10,M,BCR,PVE,F,"930,9208462",01/04/2005,24/07/2006,24/07/2006,"49318,48915"
609,Y,46.0,48,11,S,BCR,STE,F,"356,9516923",18/04/2005,01/09/1992,26/09/2005,"25869,89385"
610,Y,33.0,35,11,M,BCR,PVE,F,"831,6582308",17/11/1982,01/03/2009,24/11/2005,"26359,96492"
612,Y,42.0,43,9,M,PHD,STE,F,"1050,769231",19/02/1974,01/01/2004,20/06/2008,"17283,47508"
616,Y,42.0,44,1,M,BCR,STE,M,"785,352",17/07/2007,01/08/2004,27/07/2015,"19948,34069"
620,Y,42.0,43,11,M,HGH,PVE,F,"463,5230769",02/11/2015,01/05/2009,07/09/2005,"31292,10092"
623,Y,33.0,35,1,M,HGH,STE,F,"254,1391538",01/01/2016,01/07/2010,06/10/2015,"22212,693"
624,Y,47.0,48,4,M,BCR,PVE,M,"1100,311231",01/05/2000,06/03/1995,04/12/2012,"31118,51831"
625,Y,39.0,40,13,M,MAS,PVE,M,"3057,874385",15/12/2011,01/06/2004,02/06/2004,"113174,6798"
626,Y,44.0,45,14,M,HGH,PVE,M,"3623,176923",01/05/2007,01/11/1994,10/01/2003,"63488,58046"
633,Y,45.0,46,11,M,HGH,PVE,M,"393,6163846",01/03/1971,01/04/1991,29/08/2005,"24066,19592"
641,Y,47.0,48,1,M,HGH,PVE,M,"219,9783077",10/09/2014,01/02/2000,28/10/2015,"28003,21131"
647,Y,55.0,57,12,M,BCR,STE,F,"874,4060769",18/10/1996,05/04/1987,28/05/2005,"13623,81092"
659,Y,55.0,56,13,M,BCR,PVE,M,"162,9586923",14/12/1998,30/10/2007,01/10/2003,"11545,20585"
662,Y,38.0,40,13,M,HGH,PVE,M,"2022,638462",02/06/1988,01/03/2009,07/07/2003,"29742,56192"
666,Y,41.0,42,9,M,BCR,PVE,M,"949,6538462",07/11/2011,01/10/2011,10/08/2007,"18538,60954"
667,Y,22.0,23,2,S,HGH,PVE,M,"207,9461538",01/01/2014,10/04/2016,26/12/2014,"10387,341"
668,Y,48.0,49,12,D,HGH,STE,F,"432,5195385",01/03/1988,19/05/2004,13/07/2004,"27481,58231"
669,Y,36.0,38,13,S,HGH,PVE,M,"787,6230769",01/02/2012,13/08/2007,08/06/2004,"41027,11908"
670,Y,31.0,33,9,S,MAS,PVE,M,"720,3076923",01/02/2014,15/12/2009,05/02/2008,"41548,77646"
672,Y,36.0,37,9,M,BCR,PVE,F,"599,832",20/06/2007,05/03/2008,10/03/2008,"69797,336"
673,Y,38.0,39,11,S,BCR,SFE,F,"400,275",02/11/2011,04/12/2013,04/11/2005,"187940,6455"
677,Y,30.0,31,2,M,BCR,PVE,F,"480,4772308",07/10/2011,01/05/2014,27/04/2015,"31116,95508"
680,Y,26.0,27,2,S,BCR,PVE,F,"657,1384615",01/01/2015,01/02/2015,25/12/2014,"10751,60677"
682,Y,36.0,37,12,M,BCR,PVE,F,"632,4769231",06/04/1980,05/04/2005,09/02/2005,"55931,08538"
685,Y,39.0,41,12,M,BCR,STE,F,"451,1891538",17/05/2007,16/11/2006,27/12/2004,"51920,90223"
689,Y,35.0,36,9,S,BCR,PVE,M,"573,0307692",05/10/2010,20/09/2007,26/09/2007,"41006,84477"
690,Y,33.0,34,9,S,BCR,PVE,F,"687,4929231",01/06/2007,03/03/2008,08/08/2007,"20848,90123"
691,Y,37.0,39,9,D,BCR,PVE,M,"1080,047385",01/12/2015,01/01/2008,03/01/2008,"49338,20454"
692,Y,29.0,31,10,S,BCR,PVE,M,"1745,261538",01/01/2014,01/03/2013,05/06/2007,"62758,08769"
693,Y,33.0,34,8,M,HGH,PVE,M,"484,8692308",01/01/2003,01/09/2010,20/02/2009,"22799,14308"
694,Y,63.0,64,13,M,BCR,RET,F,"462,3871538",01/09/1989,01/10/9999,12/12/2003,"15537,60631"
697,Y,37.0,38,10,S,MAS,PVE,F,"2008,284615",01/03/2010,18/08/2008,23/12/2006,"21293,28869"
698,Y,43.0,44,13,M,BCR,PVE,M,"1799,184615",01/01/2012,05/04/2004,08/04/2004,"61169,46838"
700,Y,41.0,42,15,M,BCR,SFE,M,"2083,333308",24/08/1975,01/03/2008,09/02/2002,"93496,81223"
701,Y,45.0,46,10,M,MAS,STE,M,"741,4307692",01/12/2010,01/10/2014,17/03/2007,"66068,43585"
702,Y,48.0,49,11,M,HGH,PVE,F,"448,4909231",01/01/1996,03/10/2005,15/10/2005,"8506,325615"
704,Y,53.0,55,13,M,PHD,STE,M,"1050,653846",03/11/2008,01/01/1987,28/11/2003,"42307,85731"
705,Y,45.0,47,14,M,BCR,STE,M,"810,6923077",01/04/2015,01/11/2005,29/10/2002,"36877,34608"
708,Y,42.0,43,15,M,MAS,PVE,F,"1453,490077",01/09/2004,01/03/2003,15/11/2001,"66554,76477"
709,Y,33.0,34,8,S,PHD,STE,M,"920,4846154",20/06/1992,02/02/2009,24/11/2008,"37482,10938"
711,Y,43.0,45,6,M,HGH,STE,M,"326,9692308",01/04/2015,01/02/1999,24/11/2010,"18516,31715"
713,Y,38.0,40,12,M,BCR,PVE,F,"2831,087154",14/12/1977,15/05/2006,25/04/2005,"54496,88285"
714,Y,53.0,54,13,W,BCR,STE,F,"581,3351538",01/01/2004,08/10/1990,17/03/2004,"36707,82777"
718,Y,34.0,35,12,M,HGH,PVE,M,"536,0496154",01/05/1983,04/03/2009,17/05/2005,"18581,10038"
720,Y,50.0,51,11,M,BCR,PVE,M,"656,9923077",21/02/1966,20/07/1994,25/10/2005,"25355,97677"
722,Y,51.0,53,11,M,BCR,SFE,F,"505,1410769",01/06/1996,26/01/2011,31/08/2005,"32422,69969"
723,Y,34.0,35,11,S,PHD,STE,F,"1141,207923",18/05/1982,01/05/2007,26/01/2006,"60472,01146"
726,Y,50.0,52,12,M,BCR,PVE,M,"2328,584615",09/09/1993,21/04/2011,25/05/2005,"21632,38208"
729,Y,51.0,52,15,M,BCR,PVE,F,"465,6902308",19/06/2009,01/08/2008,14/09/2001,"50235,49654"
730,Y,34.0,35,10,M,BCR,PVE,F,"1032,061538",12/10/2009,03/02/2011,12/03/2007,"19822,08069"
731,Y,36.0,37,6,M,HGH,SFE,F,"358,9769231",01/09/2015,16/01/2013,25/02/2011,"50872,90731"
732,Y,36.0,37,10,M,HGH,PVE,F,"478,2474615",13/11/2001,04/09/2006,14/09/2006,"27546,04346"
733,Y,59.0,60,1,M,PHD,STE,F,"1211,844077",01/04/2003,23/09/1991,09/02/2016,"28095,23231"
737,Y,34.0,35,6,S,BCR,PVE,F,"1183,684615",01/09/2015,01/11/2010,11/11/2010,"36590,67231"
738,Y,27.0,29,5,S,MAS,STE,M,"846,1538462",01/05/2013,01/10/2013,15/07/2011,"31456,76854"
739,Y,34.0,36,9,M,BCR,PVE,F,"398,5703846",08/06/2009,01/06/2011,30/07/2007,"43372,34146"
741,Y,36.0,37,1,M,BCR,PVE,M,"2890,715385",04/10/2013,01/04/2008,04/02/2016,"101504,2655"
742,Y,55.0,56,10,S,BCR,STE,F,"447,8649231",01/01/1997,01/02/2010,09/09/2006,"16046,69169"
750,Y,36.0,37,9,S,BCR,PVE,M,"1163,180615",29/11/1989,03/12/2007,12/12/2007,"23369,25054"
751,Y,31.0,33,2,M,BCR,PVE,F,"308,9153846",01/04/2015,14/07/2014,06/01/2015,"19516,02315"
758,Y,28.0,30,2,S,HGH,STE,M,"489,3615385",15/02/2013,05/12/2013,21/04/2015,"36531,77238"
762,Y,37.0,38,7,M,BCR,PVE,M,"858,6666154",01/01/1991,02/01/2009,21/04/2010,"37418,19777"
763,Y,29.0,31,3,M,BCR,PVE,M,"428,4012308",01/01/2009,21/09/2010,21/03/2014,"13630,07323"
